Operator,Indoor_Outdoor_Travelling,Network Type,Rating,Call Drop Category,Latitude,Longitude,State Name
Airtel,Indoor,3G,5,Satisfactory,28.42296647,76.91232449,Haryana
RJio,Indoor,4G,4,Satisfactory,11.15835753,77.30189698,Tamil Nadu
Airtel,Outdoor,3G,5,Satisfactory,28.42293129,76.91225267,Haryana
Airtel,Travelling,3G,5,Satisfactory,28.42294679,76.91226046,Haryana
RJio,Indoor,4G,5,Satisfactory,25.62598952,85.0942942,Bihar
RJio,Travelling,4G,4,Satisfactory,14.91332118,79.9937972,Andhra Pradesh
Airtel,Travelling,4G,1,Satisfactory,19.9373255,73.53618993,Maharashtra
RJio,Outdoor,4G,4,Satisfactory,26.89203316,75.7257245,Rajasthan
RJio,Indoor,4G,5,Satisfactory,20.28782899,85.86483224,Odisha
RJio,Indoor,4G,2,Satisfactory,9.426250956,77.80240493,Tamil Nadu
Idea,Outdoor,Unknown,4,Satisfactory,-1,-1,
RJio,Indoor,4G,5,Satisfactory,25.62596263,85.09411065,Bihar
Airtel,Outdoor,4G,5,Satisfactory,26.78134153,82.15096136,Uttar Pradesh
BSNL,Indoor,3G,1,Poor Network,-1,-1,
RJio,Travelling,4G,5,Satisfactory,26.93457594,81.18449479,Uttar Pradesh
Vodafone,Outdoor,Unknown,5,Satisfactory,-1,-1,
RJio,Travelling,4G,3,Poor Network,19.057149,72.8328022,Maharashtra
Airtel,Indoor,4G,1,Poor Network,13.0102521,77.7034024,Karnataka
Airtel,Indoor,4G,1,Poor Network,13.0102521,77.7034024,Karnataka
RJio,Indoor,4G,1,Poor Network,28.5903277,76.99763329,NCT
RJio,Indoor,4G,1,Poor Network,28.5903277,76.99763329,NCT
RJio,Indoor,4G,1,Poor Network,28.52105051,77.08146611,Haryana
Airtel,Indoor,3G,1,Poor Network,-1,-1,
RJio,Indoor,4G,1,Poor Network,28.52105051,77.08146611,Haryana
RJio,Indoor,Unknown,1,Poor Network,-1,-1,
BSNL,Outdoor,Unknown,4,Satisfactory,-1,-1,
RJio,Indoor,4G,2,Poor Network,28.52105051,77.08146611,Haryana
Vodafone,Indoor,3G,4,Satisfactory,23.80778,87.80579333,West Bengal
Airtel,Indoor,3G,1,Satisfactory,27.6264406,78.128753,Uttar Pradesh
